"risk_id","title","description","asset_id","asset_type","location","status","severity","source","tags","metadata","recommendation","supporting_insights","report","created_at","updated_at","closed_at","device_id","data_tags","code","device_metadata","updated_by","closed_by","reported_at","reported_by","incident_id","impact","logging_date"
61835,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHC""}, {""name"": ""error rate"", ""value"": ""62.765957446808514 %""}]",NULL,"2025-11-18 03:40:04.402+00","2025-11-18 03:40:04.402+00",NULL,"device_702025",NULL,"tad","{""dev_id"": 5, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
61836,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPOIL""}, {""name"": ""error rate"", ""value"": ""58.51063829787234 %""}]",NULL,"2025-11-18 03:40:04.427+00","2025-11-18 03:40:04.427+00",NULL,"device_702029",NULL,"tad","{""dev_id"": 9, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
61837,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHB""}, {""name"": ""error rate"", ""value"": ""73.75886524822695 %""}]",NULL,"2025-11-18 03:40:04.447+00","2025-11-18 03:40:04.447+00",NULL,"device_702034",NULL,"tad","{""dev_id"": 14, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
61838,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHC,N_TMPWNDG_PHB,N_TMPWNDG_PHA""}, {""name"": ""error rate"", ""value"": ""60.99290780141844,84.04255319148936,65.60283687943263 %""}]",NULL,"2025-11-18 03:40:04.468+00","2025-11-18 03:40:04.468+00",NULL,"device_702036",NULL,"tad","{""dev_id"": 16, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
61839,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPOIL""}, {""name"": ""error rate"", ""value"": ""65.60283687943263 %""}]",NULL,"2025-11-18 03:40:04.49+00","2025-11-18 03:40:04.49+00",NULL,"device_702030",NULL,"tad","{""dev_id"": 10, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
62860,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHB""}, {""name"": ""error rate"", ""value"": ""73.75886524822695 %""}]",NULL,"2025-11-18 05:55:07.45+00","2025-11-18 05:55:07.451+00",NULL,"device_702034",NULL,"tad","{""dev_id"": 14, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
62861,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPOIL""}, {""name"": ""error rate"", ""value"": ""58.51063829787234 %""}]",NULL,"2025-11-18 05:55:07.47+00","2025-11-18 05:55:07.47+00",NULL,"device_702029",NULL,"tad","{""dev_id"": 9, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
62862,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHC,N_TMPWNDG_PHB,N_TMPWNDG_PHA""}, {""name"": ""error rate"", ""value"": ""60.99290780141844,84.04255319148936,65.60283687943263 %""}]",NULL,"2025-11-18 05:55:07.488+00","2025-11-18 05:55:07.488+00",NULL,"device_702036",NULL,"tad","{""dev_id"": 16, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
62863,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHC""}, {""name"": ""error rate"", ""value"": ""62.765957446808514 %""}]",NULL,"2025-11-18 05:55:07.503+00","2025-11-18 05:55:07.503+00",NULL,"device_702025",NULL,"tad","{""dev_id"": 5, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
62864,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-17""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPOIL""}, {""name"": ""error rate"", ""value"": ""65.60283687943263 %""}]",NULL,"2025-11-18 05:55:07.519+00","2025-11-18 05:55:07.519+00",NULL,"device_702030",NULL,"tad","{""dev_id"": 10, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-17"
63006,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-18""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHC""}, {""name"": ""error rate"", ""value"": ""69.14893617021276 %""}]",NULL,"2025-11-19 00:14:20.867+00","2025-11-19 00:14:20.867+00",NULL,"device_702025",NULL,"tad","{""dev_id"": 5, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-18"
63007,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-18""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPOIL""}, {""name"": ""error rate"", ""value"": ""54.60992907801418 %""}]",NULL,"2025-11-19 00:14:20.894+00","2025-11-19 00:14:20.894+00",NULL,"device_702030",NULL,"tad","{""dev_id"": 10, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-18"
63008,"Inv transformer tag error rate is higher than threshold of 50.00%","","site_88","solar",NULL,"open",9,"carwrapper","{TAD}","{""logging_date"": ""2025-11-18""}",NULL,"[{""name"": ""error rate threshold"", ""value"": ""50.0 %""}, {""name"": ""tag name"", ""value"": ""N_TMPWNDG_PHC,N_TMPWNDG_PHB,N_TMPWNDG_PHA""}, {""name"": ""error rate"", ""value"": ""73.40425531914893,76.24113475177305,71.27659574468085 %""}]",NULL,"2025-11-19 00:14:20.914+00","2025-11-19 00:14:20.914+00",NULL,"device_702036",NULL,"tad","{""dev_id"": 16, ""site_id"": 90}",NULL,NULL,NULL,NULL,NULL,"Inv transformer tag error rate is higher than threshold of 50.00%","2025-11-18"
